ass1;ass2;sol
05.554;05.554;0
05.554;05.555;0.134146341463415
05.554;05.556;0.114329268292683
05.554;05.557;0.176829268292683
05.554;05.558;0.172256097560976
05.554;05.559;0
05.554;05.560;0
05.554;05.561;0.149390243902439
05.554;05.562;0.123475609756098
05.554;05.563;0
05.554;05.564;0.141768292682927
05.554;05.565;0.144817073170732
05.554;05.566;0.140243902439024
05.554;05.567;0.13109756097561
05.554;05.568;0.0762195121951219
05.554;05.569;0.109756097560976
05.554;05.570;0.413109756097561
05.554;05.571;0.129573170731707
05.554;05.572;0.190548780487805
05.554;05.573;0.176829268292683
05.554;05.574;0.149390243902439
05.554;05.575;0.344512195121951
05.554;05.576;0.149390243902439
05.554;05.577;0
05.554;05.578;0
05.554;05.579;0.0685975609756098
05.554;05.580;0
05.554;05.581;0.140243902439024
05.554;05.582;0.11280487804878
05.554;05.583;0.222560975609756
05.554;05.584;0.128048780487805
05.554;05.585;0.0823170731707317
05.554;05.586;0.147865853658537
05.554;05.587;0.138719512195122
05.554;05.588;0
05.554;05.589;0.268292682926829
05.554;05.590;0.149390243902439
05.554;05.591;0.166158536585366
05.554;05.592;0.230182926829268
05.554;05.593;0
05.554;05.594;0
05.554;05.595;0
05.554;05.596;0
05.554;05.597;0.140243902439024
05.554;05.598;0.19969512195122
05.554;05.599;0.173780487804878
05.554;05.600;0
05.554;05.601;0.262195121951219
05.554;05.604;0
05.554;05.607;0
05.554;05.611;0.147865853658537
05.554;05.613;0.149390243902439
05.554;05.614;0.344512195121951
05.554;05.615;0
05.554;05.616;0
05.554;22.400;0.149390243902439
05.555;05.554;0.134146341463415
05.555;05.555;0
05.555;05.556;0.109756097560976
05.555;05.557;0.170731707317073
05.555;05.558;0.161585365853659
05.555;05.559;0
05.555;05.560;0
05.555;05.561;0.138719512195122
05.555;05.562;0.125
05.555;05.563;0
05.555;05.564;0.132621951219512
05.555;05.565;0.141768292682927
05.555;05.566;0.128048780487805
05.555;05.567;0.125
05.555;05.568;0.0701219512195122
05.555;05.569;0.103658536585366
05.555;05.570;0.423780487804878
05.555;05.571;0.114329268292683
05.555;05.572;0.184451219512195
05.555;05.573;0.169207317073171
05.555;05.574;0.138719512195122
05.555;05.575;0.309451219512195
05.555;05.576;0.138719512195122
05.555;05.577;0
05.555;05.578;0
05.555;05.579;0.0670731707317073
05.555;05.580;0
05.555;05.581;0.125
05.555;05.582;0.108231707317073
05.555;05.583;0.198170731707317
05.555;05.584;0.114329268292683
05.555;05.585;0.0762195121951219
05.555;05.586;0.135670731707317
05.555;05.587;0.125
05.555;05.588;0
05.555;05.589;0.25
05.555;05.590;0.138719512195122
05.555;05.591;0.166158536585366
05.555;05.592;0.216463414634146
05.555;05.593;0
05.555;05.594;0
05.555;05.595;0
05.555;05.596;0
05.555;05.597;0.129573170731707
05.555;05.598;0.184451219512195
05.555;05.599;0.158536585365854
05.555;05.600;0
05.555;05.601;0.233231707317073
05.555;05.604;0
05.555;05.607;0
05.555;05.611;0.135670731707317
05.555;05.613;0.138719512195122
05.555;05.614;0.314024390243902
05.555;05.615;0
05.555;05.616;0
05.555;22.400;0.138719512195122
05.556;05.554;0.114329268292683
05.556;05.555;0.109756097560976
05.556;05.556;0
05.556;05.557;0.138719512195122
05.556;05.558;0.13719512195122
05.556;05.559;0
05.556;05.560;0
05.556;05.561;0.114329268292683
05.556;05.562;0.0990853658536585
05.556;05.563;0
05.556;05.564;0.108231707317073
05.556;05.565;0.129573170731707
05.556;05.566;0.114329268292683
05.556;05.567;0.115853658536585
05.556;05.568;0.0716463414634146
